,5.5 MAPE,5.5 index,6.0 MAPE,5.5 index,6.5 MAPE,6.0 index,7.5 MAPE,6.5 index,8.0 MAPE,7.5 index,8.5 MAPE,8.0 index,Average
RMSprop,21.1411931061742,67,27.4844503704266,95,7.64454164326126,113,7.12463270845976,159,5.31098583162241,159,4.32541206784711,84,10.8977790140883
Adadelta,18.4847271717846,159,22.3356697116612,159,7.22190302975115,152,4.24791406504692,159,2.73739289147935,42,2.11755869736933,40,8.32054375622358
Adagrad,19.5248669770592,76,24.649860410452,155,12.8568293829722,143,6.92644144400034,159,5.66860184111406,150,3.21244152111111,157,9.99703536562278
SGD_NM,14.4185205436898,76,18.7299513569821,44,10.5791924833257,150,8.60302627186961,159,5.82382472686993,159,2.68661060576542,89,8.37698891752949
SGD,14.6625347674016,40,18.1755812979438,135,10.3801806893206,137,4.0671861704914,146,5.66738510670162,150,4.56225394750229,40,7.85582354834013
Adam,22.1510738462978,44,31.5913298441141,40,12.9713297430758,65,4.85542869939248,130,4.04152910670601,108,3.2038545567582,159,10.9738693422114
Nadam,11.5538699238836,119,11.4928343452974,130,15.7561452605277,159,4.27372526693194,159,3.44802240586828,42,1.58213911633796,46,5.39176517638653
