,5.5 MAPE,5.5 index,6.0 MAPE,5.5 index,6.5 MAPE,6.0 index,7.5 MAPE,6.5 index,8.0 MAPE,7.5 index,8.5 MAPE,8.0 index
RMSprop,0.7156278419776689,40.0,0.6144216689796995,40.0,0.49403146049646135,41.0,0.4163022279359616,118.0,1.0093027913338444,40.0,0.7004559589197521,40.0
Adadelta,9.73817058559346,159.0,9.728528289611821,159.0,9.718736771551379,159.0,9.6912839008177,159.0,9.673256803851775,159.0,9.652419621192745,159.0
Adagrad,0.4912529342436509,40.0,0.904869920811342,72.0,0.8913409991949435,72.0,0.747978247033627,73.0,0.5368980554441823,73.0,0.5209339404333858,51.0
SGD_NM,22.642577795601273,40.0,22.095207273559755,40.0,21.486604592842127,40.0,18.95006272285267,40.0,16.404541049154478,40.0,15.395769995684915,40.0
SGD,26.83625682177654,40.0,26.218564148947614,40.0,25.531772658713127,40.0,22.66935448980516,40.0,19.79680285785712,40.0,18.65843229678623,40.0
Adam,0.4198974089856208,43.0,0.6632783338457565,75.0,0.6751329482874946,73.0,0.731602050573436,69.0,0.5897075084074942,67.0,0.368123811606192,100.0
Nadam,0.45187355229871895,40.0,0.36151187725224476,132.0,0.4195957026394266,134.0,0.27924961290071715,136.0,0.6909525542076654,40.0,0.8388170933380125,43.0
