,5.5 MAPE,5.5 index,6.0 MAPE,5.5 index,6.5 MAPE,6.0 index,7.5 MAPE,6.5 index,8.0 MAPE,7.5 index,8.5 MAPE,8.0 index,Average
RMSprop,0.37068463256688,155,0.401570823534818,157,0.327957805161004,48,0.293171474613798,68,0.339328444852268,69,0.445958297689424,48,0.363111913069699
Adadelta,1.22910377894329,124,1.32197042406893,112,1.38916128132241,64,1.34712171334531,48,1.38346471134004,52,1.30452523847934,53,1.32922452458322
Adagrad,0.205226716248579,40,0.256353905025687,95,0.195416030274036,96,0.182395692619332,56,0.174738374372071,47,0.22958947713707,48,0.207286699279463
SGD_NM,1.8441580145124,40,1.53923258832231,126,1.73459130748414,127,1.98753003286687,137,2.02910114805584,142,2.0854821775712,152,1.87001587813546
SGD,1.63447794771734,40,1.6243112738324,126,1.77760272622125,127,1.89367474188395,137,1.87341375228717,142,1.87060392053802,149,1.77901406041335
Adam,0.360956545076223,139,0.482411328047235,94,0.293219953788404,144,0.225084477115693,101,0.18463146412713,154,0.243279163679865,40,0.298263821972425
Nadam,0.181563288408007,55,0.264371648998971,96,0.200277538669413,152,0.205172080036041,56,0.253865240374912,159,0.294934758341259,40,0.233364092471434
