,6.0 MAPE,6.0 index,6.5 MAPE,6.5 index,7.5 MAPE,7.5 index,8.0 MAPE,8.0 index,8.5 MAPE,8.5 index,10.0 MAPE,10.0 index,5.0 MAPE,5.0 index,4.0 MAPE,4.0 index,4.5 MAPE,4.5 index,3.0 MAPE,3.0 index,9.0 MAPE,9.0 Index,Mean
RMSprop,11.0515069414342,70,12.7772795745726,65,8.22830399519393,81,5.84486679430459,87,3.08315686797951,142,17.1524494543037,111,7.7819763192193,141,204.046084532293,40,43.6810040112572,40,882.495066793254,68,4.64919482497435,106,8.19702283469698
Adadelta,37.2342279303012,69,46.0385559476802,40,54.1078747211877,48,56.699638110524,73,59.0576234729057,142,63.6144461926956,104,6.53530084450183,100,398.7993906658,40,78.1317548108854,40,3658.72225238457,68,61.9399055017924,139,50.6275840365198
Adagrad,12.3305566183286,40,13.6591697541181,65,10.9292632764878,48,7.78746152558181,42,4.54216547879024,157,13.3014425376234,90,3.44315517799358,100,170.90916510606,40,31.8575802777086,40,789.88645938224,68,4.20873744100352,40,9.84972333066131
SGD_NM,7.34140771165069,40,6.52206928369423,40,4.08340484532845,48,3.19458698811209,42,3.28032526004965,159,14.9615119485294,159,2.28254422053895,54,174.223308555302,40,31.8114305703298,40,1063.60270749697,68,2.72311740841301,159,4.88435881776702
SGD,10.8207132611301,40,11.3161912615651,40,7.920130777422,48,5.59060298429089,73,2.48384115862221,100,18.7766393025716,159,5.76991389267778,159,180.617983213559,40,37.3420128846762,40,776.860116893918,68,2.35236380129649,159,7.62629588860605
Adam,5.71421883010176,40,5.0818169033322,40,3.49696923208054,148,3.63809386419703,46,4.65971588296727,40,12.5937107403761,123,2.75705192779154,54,136.23472985247,40,27.002543530196,40,141.40057946467,68,2.62287232655427,96,4.51816294253576
Nadam,6.03559646560568,40,5.37361832534512,65,3.41211533453346,48,2.45287262092707,146,3.33424239672112,40,10.2454090997039,137,3.54755166585917,149,168.170149429512,40,32.588961577353,40,610.58481405457,68,1.6835648028398,88,4.12168902862649
