,5.5 MAPE,5.5 index,6.0 MAPE,5.5 index,6.5 MAPE,6.0 index,7.5 MAPE,6.5 index,8.0 MAPE,7.5 index,8.5 MAPE,8.0 index
RMSprop,51.66871128305931,40.0,58.871389127807525,158.0,64.18173436140957,65.0,70.4722311168965,159.0,72.27942310914958,159.0,73.59134348718345,108.0
Adadelta,96.36030845092101,76.0,96.92659778280147,70.0,97.20931176695254,93.0,97.568768076625,94.0,97.63483812303191,87.0,97.6845276656498,100.0
Adagrad,48.527402639975925,40.0,58.239073905347524,69.0,64.23065775596703,65.0,70.52341854497769,155.0,72.22339246136299,73.0,73.67178413716282,107.0
SGD_NM,47.95144269453518,40.0,58.028024465874765,69.0,64.11147631308106,65.0,70.44247788912996,152.0,72.47255568681193,150.0,73.71903274518475,157.0
Adam,49.29082098156681,40.0,58.84410028922149,40.0,64.21252090362246,65.0,70.25977748859091,48.0,72.01513316559546,108.0,73.52916255542733,108.0
Nadam,50.36801931843513,67.0,60.191060530380405,47.0,66.07622794508822,40.0,72.3995457630181,159.0,75.69882146481547,155.0,78.5659352454698,159.0
