,5.5MAPE,5.5index,6.0MAPE,6.0index,6.5MAPE,6.5index,7.5MAPE,7.5index,8.0MAPE,8.0index,8.5MAPE,8.5index,Mean
RMSprop,5.82233039557448,30,5.82233039557448,30,5.82233039557448,30,5.82233039557448,30,5.82233039557448,30,5.82233039557448,30,4.99056891049241
Adadelta,91.3439899609191,100,91.3439899609191,100,91.3439899609191,100,91.3439899609191,100,91.3439899609191,100,91.3439899609191,100,78.2948485379306
Adagrad,5.39356161952528,30,5.39356161952528,30,5.39356161952528,30,5.39356161952528,30,5.39356161952528,30,5.39356161952528,30,4.62305281673595
SGD_NM,3.58973352400276,39,3.58973352400276,39,3.58973352400276,39,3.58973352400276,39,3.58973352400276,39,3.58973352400276,39,3.07691444914522
Adam,4.64958541019174,38,4.64958541019174,38,4.64958541019174,38,4.64958541019174,38,4.64958541019174,38,4.64958541019174,38,3.98535892302149
Nadam,20.4491392066383,161,20.4491392066383,161,20.4491392066383,161,20.4491392066383,161,20.4491392066383,161,20.4491392066383,161,17.52783360569
