,5.5 MAPE,5.5 index,6.0 MAPE,6.0 index,6.5 MAPE,6.5 index,7.5 MAPE,7.5 index,8.0 MAPE,8.0 index,8.5 MAPE,8.5 index
Depth=0.2D,3.978173413990719,40.0,2.02846432396977,40.0,1.1701856221194007,40.0,1.1337943666106873,40.0,0.7343909324863976,40.0,3.0816626472092716,40.0
Depth=0.5D,0.9664442743270564,40.0,2.849436754227517,40.0,1.39204774023575,40.0,0.6519641027741179,40.0,0.7474195383792124,40.0,0.6304740511566828,40.0
Depth=0.8D,1.0033336243611828,40.0,2.6552397559111043,40.0,1.7273398831559674,40.0,0.4345790147085616,40.0,0.08601569342624071,40.0,0.47443623013083736,40.0
